"time","compre","ossk","tcapa","tcapre","bc_comd"
1991,-10.5,7.1,12.4,,97
1991.08333333333,-23.1,23.8,7.3,,86.3
1991.16666666667,-23.1,20.8,-22.5,,91.4
1991.25,-15.3,11.7,-22.6,,93.8
1991.33333333333,-13.1,10.3,-15.3,,92
1991.41666666667,-12.1,11.7,-16.5,,91.8
1991.5,-16.5,11.6,-24.2,,88.9
1991.58333333333,-13.7,10.5,-14,,91.3
1991.66666666667,-11.5,10.2,-3.5,,93.1
1991.75,-16.9,10.3,-22,,87.5
1991.83333333333,-17.8,7.6,-22.9,,87.7
1991.91666666667,-16.4,14,-1.7,,91.5
1992,-21.1,14.5,-17.8,,88.2
1992.08333333333,-14.1,2.3,-9.2,,91.2
1992.16666666667,-14.7,4.9,9.3,,92.4
1992.25,-16.9,9.2,-10,,88.3
1992.33333333333,-16.2,1.9,-18.7,,88.4
1992.41666666667,-14.4,4.7,-0.7,,92
1992.5,-18.2,7.1,-25.9,,88.6
1992.58333333333,-17.1,4.8,-28.5,,87
1992.66666666667,-16.5,3.2,-30.9,,85.1
1992.75,-18.4,4.5,-20.3,,86.2
1992.83333333333,-18.4,1.9,-3.6,,85.6
1992.91666666667,-30.1,5.9,-28.3,,78.3
1993,-32.2,10.1,-34.9,,77.3
1993.08333333333,-28.3,-6.8,-13.7,,80.9
1993.16666666667,-7.3,0.4,-40.3,,87.6
1993.25,-17.6,-0.2,-19.2,,89.5
1993.33333333333,-17.8,-1,-7,,87.6
1993.41666666667,-28.4,-3.2,-44,,75.2
1993.5,-22.9,-4,-24.8,,80.7
1993.58333333333,-19.9,-4.3,-30.3,,82.2
1993.66666666667,-17.3,-4,-35.8,,83.3
1993.75,-17.4,1.9,-27,,85.1
1993.83333333333,-17.6,0.8,-15.2,,87.9
1993.91666666667,-18.2,16.4,-26.6,,89.7
1994,-17.6,17.9,-9,,93.3
1994.08333333333,-15.7,-0.5,-14.8,,92.8
1994.16666666667,-16.2,16.7,-11.1,,93.2
1994.25,-14.7,2.8,-1.2,,95.5
1994.33333333333,-16.3,3.9,-3.8,,95.4
1994.41666666667,-16.3,10.9,-17.1,,94.1
1994.5,-18.2,8.4,-6.5,,95.3
1994.58333333333,-13,6.6,-7.6,,98.9
1994.66666666667,-7.9,5.3,-8.5,,102.3
1994.75,-5.2,5.6,7.1,,106.3
1994.83333333333,-7.4,15.6,-6.7,,103.4
1994.91666666667,-9.8,9.6,-16,,100.7
1995,-11.7,4.5,12.4,,103.4
1995.08333333333,-6.2,4.2,12.9,,104.5
1995.16666666667,-6.6,1.8,16.9,,103.4
1995.25,-9.2,7.4,12,,102.9
1995.33333333333,-12.6,5.4,10.5,,102.7
1995.41666666667,-7.3,11.2,5.2,,104.9
1995.5,-10.4,17.4,-6.1,,103.8
1995.58333333333,-8.9,12.4,-3.8,,102.6
1995.66666666667,-7.2,7.7,-1.8,,101.1
1995.75,-15,9.3,-6.6,,94.5
1995.83333333333,-9.2,12,-38.1,,92.2
1995.91666666667,-12.5,27.5,-32.7,,90.5
