"time","ica_c1","ica_c3","ica_c4","ica_c5","ica_cZ"
1999,55.41,78.15,74.73,65.31,65.64
1999.08333333333,56.32,76.99,73.8,64.4,65.55
1999.16666666667,55.39,76.98,72.14,65.56,65.59
1999.25,54.95,77.75,73.49,65.38,65.65
1999.33333333333,55.96,77.27,73.26,65.91,66.18
1999.41666666667,54.92,77.91,76.15,66.07,66.17
1999.5,58.06,79.46,77.78,67.52,68.28
1999.58333333333,56.96,81.08,72.67,66.89,67.26
1999.66666666667,57.06,80.78,73.66,67.38,67.5
1999.75,57.83,82.45,76.16,68.36,69.06
1999.83333333333,58.53,82.25,77.17,69.24,69.61
1999.91666666667,56.74,84.59,69.6,67.9,67.79
2000,57.56,82.74,77.04,68.96,68.88
2000.08333333333,57.55,82.74,71.3,69.11,68.8
2000.16666666667,57.72,83.78,74.71,70.66,69.95
2000.25,58.39,84.7,74.74,70.67,70.48
2000.33333333333,58.47,85.05,77.08,71.25,70.8
2000.41666666667,59.88,84.49,77.56,71.39,71.49
2000.5,60.76,86.34,78.48,73.09,72.96
2000.58333333333,59.94,86.3,77.37,72.45,72.33
2000.66666666667,60.75,85.51,79.24,73.03,73.02
2000.75,60.47,87.54,76.39,73.89,73.28
2000.83333333333,59.99,86.87,79.28,73.87,73.47
2000.91666666667,61.26,89.41,80.54,75.42,75.07
2001,60.77,86.54,77.18,72.78,72.96
2001.08333333333,61.77,86.46,87.44,74.29,75.01
2001.16666666667,62.06,88.28,81.83,73.82,74.32
2001.25,63.01,87.23,78.2,72.91,73.22
2001.33333333333,63.35,86.85,81.52,74.51,74.79
2001.41666666667,63.73,88.55,79.47,74.07,74.59
2001.5,62.59,87.24,82.23,73.81,74.36
2001.58333333333,63.48,87.69,89.75,74.44,75.92
2001.66666666667,63.12,87.64,83.49,73.9,74.76
2001.75,63.47,86.73,81.66,73.34,73.94
2001.83333333333,63.15,86.7,79.53,72.83,73.42
2001.91666666667,64.81,86.13,80.88,73.84,74.36
2002,63.79,87.57,84.24,73.58,75.15
2002.08333333333,64.14,86.04,82.78,73.91,74.56
2002.16666666667,64.93,86.33,79.16,73.8,74.39
2002.25,64.3,86.97,85.48,74.76,75.82
2002.33333333333,65.44,85.67,82.43,74.24,75.56
2002.41666666667,63.71,86.84,80.78,73.85,74.49
2002.5,63.96,84.64,82.13,73.53,74.34
2002.58333333333,64.98,85.12,84.58,74.57,75.56
2002.66666666667,64.99,85.61,83.04,74.14,75.24
2002.75,65.35,84.34,82.33,73.87,75.07
2002.83333333333,64.87,85.32,82.7,74.35,75.32
2002.91666666667,65.25,82.38,88.5,72.3,75.05
2003,65.21,84.22,83.32,74.75,75.82
2003.08333333333,65.82,83.35,83.47,75.02,75.94
2003.16666666667,65.14,84.61,87.24,75.19,76.64
2003.25,66.14,82.5,84.07,75.65,76.12
2003.33333333333,65.06,82.34,80.84,72.98,73.99
2003.41666666667,65.52,81.57,83.75,73.88,74.87
2003.5,65.06,82.81,81.17,73.58,74.35
