"time","ipi_c1","ipi_c3","ipi_c4","ipi_c5","ipi_cZ"
1990,86.82,95.78,93.02,99.29,96.03
1990.08333333333,91.94,103.86,92.33,100.21,98.57
1990.16666666667,91.45,96.86,92.33,100.61,97.46
1990.25,92.47,96.86,90.24,99.75,96.88
1990.33333333333,95.06,98.51,88.29,100.62,97.83
1990.41666666667,91.21,91.88,89.25,99.84,95.82
1990.5,91.39,94.9,88.23,99.34,95.98
1990.58333333333,93.13,94.02,84.69,98.74,95.29
1990.66666666667,89.53,97.12,84.91,99.77,95.91
1990.75,90.56,95.22,86.32,100.04,96.01
1990.83333333333,89.7,91.26,84.45,98.43,94.08
1990.91666666667,90.01,92.25,85.52,98.8,94.64
1991,95.54,95.21,86.3,99.84,96.7
1991.08333333333,94.2,95.17,83.85,97.73,95.06
1991.16666666667,92.68,95.02,84.66,98.89,95.49
1991.25,94.12,92.91,83.44,98.05,94.75
1991.33333333333,91.51,91.03,83.74,97.39,93.62
1991.41666666667,90.83,92.13,85.57,99.35,95.12
1991.5,91.45,89.79,83.89,97.15,93.34
1991.58333333333,91.67,91.73,87.6,98.1,94.71
1991.66666666667,92.92,90.5,87.99,98.97,95.16
1991.75,91.12,91.63,85.58,97.99,94.15
1991.83333333333,92.47,92.84,86.81,99.13,95.52
1991.91666666667,91.54,85.91,87.07,99.68,94.44
1992,92.02,91.32,87.07,98.63,94.87
1992.08333333333,92.08,88.2,86.59,98.57,94.24
1992.16666666667,92.76,90.93,86.19,99.26,95.18
1992.25,92.87,89.82,84.11,98.41,94.27
1992.33333333333,94.15,91.28,83.5,98.29,94.53
1992.41666666667,93.17,89.82,83.19,97.09,93.41
1992.5,92.15,89.07,82.24,96.82,92.89
1992.58333333333,89.34,90.26,83.5,97.43,93.2
1992.66666666667,90.9,85.68,82.82,96.06,91.71
1992.75,90.46,87,83.42,96.17,92.06
1992.83333333333,90.81,87.44,81.63,95.51,91.56
1992.91666666667,91.4,88.51,76.44,93.37,90.03
1993,89.44,86.57,77.72,94.52,90.23
1993.08333333333,90.87,84.29,76.9,93.61,89.43
1993.16666666667,90.63,83.31,75.38,93.54,89
1993.25,90.36,85.4,75.52,92.9,89
1993.33333333333,88.05,84.72,77.77,92.39,88.67
1993.41666666667,89.57,83.65,73.43,91.73,87.73
1993.5,89.82,86.12,73.84,93.47,89.21
1993.58333333333,90.67,84.96,75.46,91.81,88.44
1993.66666666667,93.61,86.23,71.16,92.21,88.76
1993.75,90.97,90.19,70.67,92.65,89.27
1993.83333333333,90.08,80.07,71.32,92.8,87.48
1993.91666666667,89.08,82.05,71.31,92.99,87.79
1994,90.22,84.18,73.44,95.12,89.66
1994.08333333333,87.92,86.41,74.64,93.84,89.23
1994.16666666667,89.97,84.52,74.34,94.92,89.8
1994.25,88.68,85.16,81.81,95.73,91.15
1994.33333333333,89.05,86.19,80.17,97.3,91.95
1994.41666666667,89.82,89.29,80.04,96.88,92.28
1994.5,93.11,88.57,82.72,97.44,93.29
1994.58333333333,97.45,86.58,80.17,98.4,93.81
1994.66666666667,91.02,88.52,82.19,98.19,93.43
1994.75,90.89,90.73,83.82,99.35,94.65
1994.83333333333,92.99,91.79,84.85,100.95,96.14
1994.91666666667,92.33,91.33,81.99,101.28,95.7
1995,92.09,91.92,85.76,100.54,95.91
1995.08333333333,92.48,93.64,89.14,99.82,96.32
1995.16666666667,91.06,92.78,85.85,100.05,95.67
1995.25,92.59,94.37,84.6,99.97,95.94
1995.33333333333,93.44,92.51,84.11,99.25,95.3
1995.41666666667,94.28,93.28,83.82,100.1,96.07
1995.5,92.86,96.45,83.83,100.34,96.52
1995.58333333333,93.13,95.59,83.82,99.03,95.72
1995.66666666667,93.53,96.94,82.3,99.9,96.3
1995.75,93.99,95.18,84.33,97.94,95.18
1995.83333333333,92.78,94.59,84.54,96.74,94.28
1995.91666666667,92.66,100.04,86.69,98.68,96.63
1996,93.67,93.01,88.02,98.4,95.56
1996.08333333333,94.28,94.8,83.08,97.54,94.87
1996.16666666667,93.56,95.58,86.11,98.62,95.9
1996.25,93.61,94.81,86.91,97.74,95.34
1996.33333333333,96.83,95.68,89.49,98.76,96.84
1996.41666666667,93.78,97.03,88.17,98.7,96.44
1996.5,94.13,94.01,82.42,97.25,94.43
1996.58333333333,94.45,94.5,91.91,99.63,97.06
1996.66666666667,94.64,95.39,88.67,99.58,96.81
1996.75,94.34,95.03,86.6,98.4,95.87
1996.83333333333,94.27,97.04,87.45,99.87,97.12
1996.91666666667,97.64,94.01,88.55,99.76,96.99
1997,93.91,95.67,88.23,98.27,96.09
1997.08333333333,95.08,95.31,90.49,100.82,97.84
