"time","ivv_45","ivv_46","ivv_47","ivv_commerce"
2005,75.02,79,64.9,74.06
2005.08333333333,73.47,79.07,65.12,73.97
2005.16666666667,75.03,78.98,65.56,74.27
2005.25,76.05,79.58,65,74.55
2005.33333333333,74.73,78.67,65.01,73.88
2005.41666666667,75.93,78.15,65.26,73.83
2005.5,76.63,80.53,64.85,75.09
2005.58333333333,76.16,80.08,65.49,74.99
2005.66666666667,76.18,80.62,65.84,75.41
2005.75,74.64,80.54,65.73,75.13
2005.83333333333,77.5,82.08,66.66,76.64
2005.91666666667,77.81,79.99,66.77,75.57
2006,76.28,80.27,66.61,75.48
2006.08333333333,76.95,80.25,66.83,75.62
2006.16666666667,77.19,80.45,66.67,75.72
2006.25,78.44,80.95,67.2,76.33
2006.33333333333,78.57,82.08,67.23,76.96
2006.41666666667,77.85,81.46,67.58,76.65
2006.5,78.17,82.09,67.96,77.16
2006.58333333333,77.09,80.95,67.8,76.34
2006.66666666667,77.74,81.63,67.69,76.77
2006.75,77.87,81.56,68.03,76.85
2006.83333333333,78.35,81.99,68.84,77.42
2006.91666666667,79.39,82.64,68.36,77.74
2007,78.24,82.64,68.71,77.71
2007.08333333333,78.91,83.7,69.28,78.57
2007.16666666667,79.82,83.72,70.17,78.99
2007.25,78.02,83.08,70.24,78.43
2007.33333333333,80.41,84.94,69.11,79.38
2007.41666666667,80.66,83.23,70.43,78.91
2007.5,81.25,82.61,71.19,78.9
2007.58333333333,80.55,83.23,70.61,78.96
2007.66666666667,81.59,82.31,70.32,78.49
2007.75,81.25,84.39,71.08,79.84
2007.83333333333,80.13,83.16,70.92,78.96
2007.91666666667,80.44,83.9,70.82,79.38
2008,81.8,85.77,71.14,80.68
2008.08333333333,81.32,85.8,71.04,80.6
2008.16666666667,80.06,85.06,70.19,79.75
2008.25,80.68,85.47,70.38,80.12
2008.33333333333,80.57,84.27,71.04,79.67
2008.41666666667,78.41,85.06,70.73,79.72
2008.5,80.41,84.04,70.3,79.28
2008.58333333333,78.17,85.61,71.07,80.1
2008.66666666667,77.87,85.94,71.33,80.33
2008.75,77.28,84.7,70.5,79.3
2008.83333333333,73.81,84.12,71.24,78.78
2008.91666666667,74.47,85.23,71.44,79.54
2009,73.44,83.88,71.94,78.83
2009.08333333333,73.71,82.9,70.63,77.9
2009.16666666667,73.45,82.84,70.39,77.75
2009.25,73.53,82.33,71.19,77.75
2009.33333333333,74.2,82.75,70.94,77.99
2009.41666666667,74.8,83.03,72.05,78.58
2009.5,76.16,82.5,71.05,78.14
2009.58333333333,76.72,82.65,71.07,78.3
2009.66666666667,76.61,83.03,71.53,78.64
2009.75,77.21,82.72,71.94,78.69
2009.83333333333,77.98,82.64,71.43,78.57
2009.91666666667,77.52,83.89,72.73,79.62
2010,77.61,82.3,71.66,78.41
2010.08333333333,77.28,83.04,72.28,78.98
2010.16666666667,76.95,83.76,73.07,79.59
2010.25,76.97,84.14,73.36,79.89
2010.33333333333,77.64,84.64,73.93,80.44
2010.41666666667,77.64,84.64,72.78,80.07
2010.5,76.74,85.59,74.23,80.94
2010.58333333333,78.53,84.26,74.04,80.38
2010.66666666667,77.61,85.74,74.5,81.22
2010.75,78.12,86.19,74.18,81.43
2010.83333333333,80.61,87.21,75.18,82.63
2010.91666666667,79.71,85.37,75.53,81.63
2011,81.98,86.55,75.53,82.57
2011.08333333333,82.08,87.61,76.37,83.43
2011.16666666667,82.84,87.01,76.05,83.1
2011.25,81.41,88.17,76.84,83.81
2011.33333333333,80.34,86.17,75.39,82.1
2011.41666666667,80.73,87.29,76.15,83.01
2011.5,80.42,88.67,75.96,83.66
2011.58333333333,80.32,87.65,75.8,83.04
2011.66666666667,81.59,87.53,76.46,83.36
2011.75,81.52,88.41,76.57,83.86
2011.83333333333,83.18,89.07,76.84,84.53
2011.91666666667,81.26,86.73,76.36,82.85
2012,80.8,87.64,76.99,83.49
2012.08333333333,80.88,87.24,77.74,83.52
2012.16666666667,81.04,87.7,78.37,84
2012.25,79.58,86.6,76.41,82.57
2012.33333333333,79.8,88.36,77.39,83.88
2012.41666666667,80.92,88.08,78.13,84.12
2012.5,78.42,88.09,78.45,83.9
2012.58333333333,78.71,88,77.56,83.6
2012.66666666667,78.72,87.47,78.09,83.48
2012.75,78.35,87.83,78.32,83.71
2012.83333333333,77.08,86.4,77.91,82.63
2012.91666666667,80.34,87.31,78.07,83.6
2013,77.38,87.02,78.54,83.22
2013.08333333333,77.6,86.54,78.62,83
2013.16666666667,76.25,86.49,78.56,82.78
2013.25,77.28,87.79,78.99,83.78
2013.33333333333,78.13,88.06,79.21,84.11
2013.41666666667,78.57,86.67,78.48,83.16
2013.5,76.24,86.84,79.62,83.29
2013.58333333333,78.77,87.89,79.93,84.32
2013.66666666667,79.75,87.56,79.24,84.05
2013.75,78.7,87.79,79.52,84.13
2013.83333333333,79.96,88.5,80.23,84.91
2013.91666666667,81.63,88.93,79.65,85.2
2014,77.11,87.79,79.97,84.05
2014.08333333333,77.85,88.87,79.46,84.61
2014.16666666667,78.23,88.11,80.49,84.54
2014.25,79.03,88.54,80.08,84.76
2014.33333333333,77.93,87.02,79.98,83.73
2014.41666666667,78.43,89.15,80.26,85.08
2014.5,79.24,87.68,80.15,84.33
2014.58333333333,81.23,88.58,81.15,85.41
2014.66666666667,79.07,88.73,81.03,85.17
2014.75,80.3,88.05,80.9,84.9
2014.83333333333,80.38,87.84,81.04,84.84
2014.91666666667,80.37,87.56,81.79,84.91
2015,81,88.72,82.53,85.88
2015.08333333333,81.12,87.9,82.01,85.27
2015.16666666667,81.54,88.65,81.64,85.64
2015.25,82.35,89.33,82.91,86.51
2015.33333333333,82.95,88.71,83.56,86.44
2015.41666666667,82.7,89.38,83.54,86.78
2015.5,84.08,89.1,83.46,86.78
2015.58333333333,84,87.94,84.65,86.48
2015.66666666667,84.95,88.87,84.83,87.19
2015.75,84.79,88.57,84.34,86.85
2015.83333333333,84.45,89.1,82.47,86.53
2015.91666666667,83.3,89.97,85.61,87.82
2016,87.83,90.68,85.66,88.84
2016.08333333333,87.66,91.11,86,89.16
2016.16666666667,87.09,90.82,85.16,88.67
2016.25,88.29,90.37,85.52,88.69
2016.33333333333,87.79,90.4,85.82,88.72
2016.41666666667,87.68,88.9,85.42,87.75
2016.5,85.83,89.71,85.93,88.11
2016.58333333333,89.44,89.61,85.58,88.43
2016.66666666667,89.94,89.72,85.98,88.68
2016.75,89.1,89.88,87.15,89.02
2016.83333333333,91.93,92.12,86.56,90.46
2016.91666666667,91.26,90.77,87.19,89.81
2017,91.55,90.78,87.6,89.98
2017.08333333333,92.48,91.23,88.01,90.48
2017.16666666667,94.03,92.88,88.46,91.75
2017.25,91.64,91.83,88.12,90.74
2017.33333333333,94.91,92.58,89.01,91.87
2017.41666666667,94.77,93.25,88.41,92.05
2017.5,96,94.61,89.67,93.36
2017.58333333333,94.92,93.76,88.25,92.3
2017.66666666667,96.66,94.58,91.36,93.95
2017.75,97.57,92.74,88.35,92.11
2017.83333333333,97.47,94.35,91.22,93.88
2017.91666666667,101.58,95.49,91.11,95.03
2018,96.81,93.43,90.46,93.04
2018.08333333333,97.25,93.18,91.03,93.13
2018.16666666667,99.03,93.77,91.62,93.88
2018.25,99.73,94.58,91.09,94.29
2018.33333333333,100.05,95.83,91.89,95.28
2018.41666666667,99.93,95.66,91.66,95.1
2018.5,98.46,93.86,91.68,93.87
2018.58333333333,98.31,95.39,91.68,94.72
2018.66666666667,98.21,94.1,91.96,94.05
2018.75,99.5,96.6,92.48,95.81
2018.83333333333,97.39,95.4,91.96,94.68
2018.91666666667,94.33,95.95,91.71,94.49
2019,100.64,95.53,92.92,95.49
2019.08333333333,101.56,96.06,93.43,96.06
2019.16666666667,100.57,96.88,93.05,96.28
2019.25,101.77,98.21,93.55,97.36
2019.33333333333,102.21,98.09,93.33,97.28
2019.41666666667,101.9,97.62,93.85,97.12
2019.5,102.94,97.63,93.27,97.11
2019.58333333333,102.56,98.3,94.77,97.87
2019.66666666667,102.25,98.17,93.67,97.43
2019.75,102.27,98.03,94,97.45
2019.83333333333,103.27,97.96,94.69,97.75
2019.91666666667,103.4,97.62,94.98,97.66
2020,101.02,98.11,95.28,97.69
2020.08333333333,101.14,98.14,94.91,97.62
2020.16666666667,53.45,85.49,78.86,79.09
2020.25,26.56,72.59,64.1,63.7
2020.33333333333,74.89,86.28,88.76,85.41
2020.41666666667,106.1,97.01,96.21,98.05
2020.5,113.14,98.22,94.17,99.13
2020.58333333333,109.2,97.05,99.68,99.51
2020.66666666667,105.96,96.53,95.98,97.69
2020.75,106.06,97.35,98.53,98.91
2020.83333333333,88.72,94.87,81.8,90.22
2020.91666666667,100.15,97.4,102.05,99.13
2021,102.22,98.92,97.17,98.87
2021.08333333333,98.79,97.61,97.78,97.82
2021.16666666667,101.56,99.31,98.81,99.48
2021.25,99.35,98.15,92.24,96.61
2021.33333333333,97.72,98,99.18,98.3
2021.41666666667,102.11,102.33,101.39,102.03
2021.5,99.31,101,101.26,100.84
2021.58333333333,100.38,100.33,101.63,100.71
2021.66666666667,99.06,99.99,101.6,100.33
2021.75,99.47,101.03,102.73,101.31
2021.83333333333,100.03,102.87,102.94,102.49
2021.91666666667,100,100.45,103.26,101.2
2022,100.7,102.19,102.87,102.18
2022.08333333333,99.06,103.28,103.09,102.63
2022.16666666667,97.99,103.49,103.55,102.74
2022.25,94.53,102.34,103.85,101.68
2022.33333333333,97.01,100.62,104,101.1
2022.41666666667,96.94,102.21,103.58,101.87
2022.5,96.2,101.01,101.47,100.47
2022.58333333333,101.98,101.55,102.81,101.97
2022.66666666667,103.35,102.58,104.78,103.32
2022.75,101.3,101.82,103.17,102.14
2022.83333333333,102.3,103.01,102.17,102.67
2022.91666666667,102.38,100.24,101.95,101.04
2023,103.89,100.67,101.69,101.41
2023.08333333333,104.26,99.33,101.44,100.63
2023.16666666667,106.44,98.55,101.86,100.61
2023.25,102.95,96.62,99.48,98.33
2023.33333333333,108.14,99.26,100.7,100.91
2023.41666666667,109.13,100.34,101.48,101.9
2023.5,109.27,99.96,101.93,101.83
2023.58333333333,110.01,100.26,100.05,101.56
2023.66666666667,110.26,99.4,100.73,101.3
2023.75,109.21,99.07,101.05,101.06
2023.83333333333,108.53,97.5,102.15,100.39
2023.91666666667,111.51,99.84,101.53,101.96
2024,105.09,99.28,102.26,100.96
2024.08333333333,108.33,101.07,102.79,102.58
2024.16666666667,105.25,99,102.59,100.91
2024.25,106.65,100.61,102.5,102
2024.33333333333,104.37,99.89,102.42,101.25
2024.41666666667,102.7,99.11,101.77,100.38
2024.5,102.97,98.25,101.88,99.96
2024.58333333333,104.17,99.52,105.16,101.81
2024.66666666667,103.11,97.9,104.2,100.45
2024.75,104.74,97.24,103.8,100.19
2024.83333333333,104.31,97.32,103.98,100.23
